['/0 Subnet', 'Networking']
['IoT Core', 'Data Analytics']
['JDBC Driver', 'Data Analytics']
['Leader Nodes', 'Data Analytics']
['Managed Cluster Option', 'Data Analytics']
['OLAP (Online Analytical Processing)', 'Data Analytics']
['ORC', 'Data Analytics']
['OpenSearch Dashboards', 'Data Analytics']
['Parallel Query Engine', 'Data Analytics']
['PostgreSQL Technology', 'Data Analytics']
['Presto Engine', 'Data Analytics']
['Redshift Cluster', 'Data Analytics']
['Redshift Spectrum', 'Data Analytics']
['Reporting Bucket', 'Data Analytics']
['S3 Copy Command', 'Data Analytics']
['SQL', 'Data Analytics']
['SQL Statements', 'Data Analytics']
['Serverless Cluster', 'Data Analytics']
['Serverless Query Service', 'Data Analytics']
['Source Crawlers', 'Data Analytics']
['AWS Secrets Manager', 'AWS Fundamentals']
['Amazon Comprehend', 'AWS Fundamentals']
['Amazon SageMaker', 'AWS Fundamentals']
['Asynchronous Replication', 'AWS Fundamentals']
['Audit Logs', 'AWS Fundamentals']
['Aurora', 'AWS Fundamentals']
['Aurora Backups', 'AWS Fundamentals']
['Aurora Database Cloning', 'AWS Fundamentals']
['Aurora Serverless', 'AWS Fundamentals']
['Automated Backups', 'AWS Fundamentals']
['Automatic Failover', 'AWS Fundamentals']
['Backtrack', 'AWS Fundamentals']
['Cache Hit', 'AWS Fundamentals']
['Cache Invalidation', 'AWS Fundamentals']
['Cache Miss', 'AWS Fundamentals']
['CloudWatch Logs', 'AWS Fundamentals']
['Connection Pooling', 'AWS Fundamentals']
['Cross-Region Replication', 'AWS Fundamentals']
['Custom Endpoints', 'AWS Fundamentals']
['Database Snapshot', 'AWS Fundamentals']
['Disaster Recovery', 'AWS Fundamentals']
['Failover Time Reduction', 'AWS Fundamentals']
['Global Aurora', 'AWS Fundamentals']
['IAM Authentication', 'AWS Fundamentals']
['Lazy Loading', 'AWS Fundamentals']
['Machine Learning Integration', 'AWS Fundamentals']
['Manual DB Snapshots', 'AWS Fundamentals']
['MariaDB', 'AWS Fundamentals']
['Memcached', 'AWS Fundamentals']
['Microsoft SQL Server', 'AWS Fundamentals']
['Oracle Database', 'AWS Fundamentals']
['Percona XtraBackup', 'AWS Fundamentals']
['Point-in-Time Recovery', 'AWS Fundamentals']
['RDS', 'AWS Fundamentals']
['RDS Custom', 'AWS Fundamentals']
['RDS Proxy', 'AWS Fundamentals']
['Read Replicas', 'AWS Fundamentals']
['Reader Endpoint', 'AWS Fundamentals']
['Redis', 'AWS Fundamentals']
['Redis AUTH', 'AWS Fundamentals']
['Replica Auto Scaling', 'AWS Fundamentals']
['Restore Options', 'AWS Fundamentals']
['SASL-Based Authentication', 'AWS Fundamentals']
['SSL In-Flight Encryption', 'AWS Fundamentals']
['SSM Session Manager', 'AWS Fundamentals']
['Session Data', 'AWS Fundamentals']
['Session Store', 'AWS Fundamentals']
['Shared Storage Volume', 'AWS Fundamentals']
['Synchronous Replication', 'AWS Fundamentals']
['TLS Root Certificates', 'AWS Fundamentals']
['Time to Live', 'AWS Fundamentals']
['VPC (Virtual Private Cloud)', 'AWS Fundamentals']
['Write Through', 'AWS Fundamentals']
['Writer Endpoint', 'AWS Fundamentals']
['Zero Downtime Operation', 'AWS Fundamentals']
['Access Point Policy', 'S3 Security']
['Bucket Policy', 'S3 Security']
['CORS (Cross-Origin Resource Sharing)', 'S3 Security']
['CORS Headers (Access-Control-Allow-Origin)', 'S3 Security']
['Client-Side Encryption', 'S3 Security']
['Compliance Mode', 'S3 Security']
['Encryption in Transit (SSL/TLS)', 'S3 Security']
['Enriched Object', 'S3 Security']
['Governance Mode', 'S3 Security']
['Legal Hold', 'S3 Security']
['Origin', 'S3 Security']
['Pre-flight Request', 'S3 Security']
['Pre-signed URLs', 'S3 Security']
['Redacted Object', 'S3 Security']
['Retention Period', 'S3 Security']
['S3 Access Logs', 'S3 Security']
['S3 Access Points', 'S3 Security']
['S3 Glacier Vault Lock', 'S3 Security']
['S3 Object Lambda', 'S3 Security']
['S3 Object Lock', 'S3 Security']
['SSE-C (Server-Side Encryption with Customer-Provided Keys)', 'S3 Security']
['SSE-KMS (Server-Side Encryption with AWS KMS Keys)', 'S3 Security']
['SSE-S3 (Server-Side Encryption with Amazon S3-Managed Keys)', 'S3 Security']
['Server-Side Encryption (SSE)', 'S3 Security']
['VPC Endpoint', 'S3 Security']
['Vault Lock Policy', 'S3 Security']
['Write Once Read Many (WORM)', 'S3 Security']
['Allocation Strategy', 'EC2 Basics']
['Amazon EC2', 'EC2 Basics']
['Amazon Linux 2', 'EC2 Basics']
['Auto-Scaling Group (ASG)', 'EC2 Basics']
['C5 Instances', 'EC2 Basics']
['Capacity Reservations', 'EC2 Basics']
['Compute Optimized Instances', 'EC2 Basics']
['Convertible Reserved Instances', 'EC2 Basics']
['Dedicated Host', 'EC2 Basics']
['Dedicated Instances', 'EC2 Basics']
['EBS Volumes', 'EC2 Basics']
['EC2 Instance Connect', 'EC2 Basics']
['EC2 Instances', 'EC2 Basics']
['Elastic Compute Cloud (EC2)', 'EC2 Basics']
['Elastic Load Balancer', 'EC2 Basics']
['FTP (File Transfer Protocol)', 'EC2 Basics']
['Firewall', 'EC2 Basics']
['General Purpose Instances', 'EC2 Basics']
['HTTP', 'EC2 Basics']
['HTTPS', 'EC2 Basics']
['Infrastructure as a Service (IaaS)', 'EC2 Basics']
['Instance Class', 'EC2 Basics']
['Launch Templates', 'EC2 Basics']
['Max Spot Price', 'EC2 Basics']
['Memory', 'EC2 Basics']
['Memory Optimized Instances', 'EC2 Basics']
['On-Demand EC2 Instances', 'EC2 Basics']
['One-Time Request', 'EC2 Basics']
['Persistent Request', 'EC2 Basics']
['Putty', 'EC2 Basics']
['R5 Instances', 'EC2 Basics']
['RDP (Remote Desktop Protocol)', 'EC2 Basics']
['Reserved Instances', 'EC2 Basics']
['SFTP (Secure File Transfer Protocol)', 'EC2 Basics']
['SSH (Secure Shell)', 'EC2 Basics']
['Savings Plan', 'EC2 Basics']
['Security Groups', 'EC2 Basics']
['Spot Block', 'EC2 Basics']
['Spot Fleet', 'EC2 Basics']
['Spot Fleets Strategies', 'EC2 Basics']
['Spot Instance Pricing', 'EC2 Basics']
['Spot Instances', 'EC2 Basics']
['Spot Request', 'EC2 Basics']
['Storage Optimized Instances', 'EC2 Basics']
['T2 Micro', 'EC2 Basics']
['VCPU', 'EC2 Basics']
['Amazon Athena', 'Databases']
['Amazon Aurora', 'Databases']
['Amazon DocumentDB', 'Databases']
['Amazon DynamoDB', 'Databases']
['Amazon EMR', 'Databases']
['Amazon ElastiCache', 'Databases']
['Amazon Glacier', 'Databases']
['Amazon Keyspaces', 'Databases']
['Amazon Neptune', 'Databases']
['Amazon OpenSearch', 'Databases']
['Amazon QLDB', 'Databases']
['Amazon RDS', 'Databases']
['Amazon Redshift', 'Databases']
['Amazon Timestream', 'Databases']
['Business Intelligence (BI)', 'Databases']
['Data Warehousing', 'Databases']
['Graph Databases', 'Databases']
['Ledger Databases', 'Databases']
['NoSQL', 'Databases']
['Object Store', 'Databases']
['Online Analytical Processing (OLAP)', 'Databases']
['Online Transaction Processing (OLTP)', 'Databases']
['RDBMS', 'Databases']
['Search Databases', 'Databases']
['Time Series Databases', 'Databases']
['Amazon S3', 'S3 Basics']
['Amazon S3 Infrequent Access (IA)', 'S3 Basics']
['Amazon S3 Intelligent Tiering', 'S3 Basics']
['Amazon S3 One Zone-Infrequent Access (One Zone-IA)', 'S3 Basics']
['Amazon S3 Standard-General Purpose', 'S3 Basics']
['Amazon S3-Security', 'S3 Basics']
['Availability', 'S3 Basics']
['Bucket ACL', 'S3 Basics']
['Bucket Settings for Block Public Access', 'S3 Basics']
['Buckets', 'S3 Basics']
['Durability', 'S3 Basics']
['Encryption Keys', 'S3 Basics']
['Glacier Deep Archive', 'S3 Basics']
['Glacier Flexible Retrieval', 'S3 Basics']
['Glacier Instant Retrieval', 'S3 Basics']
['IAM Permissions', 'S3 Basics']
['IAM Policies', 'S3 Basics']
['JSON-Based Policies', 'S3 Basics']
['Metadata', 'S3 Basics']
['Multi-part Upload', 'S3 Basics']
['Object Access Control List (ACL)', 'S3 Basics']
['Object Key', 'S3 Basics']
['Objects', 'S3 Basics']
['Resource-Based Security', 'S3 Basics']
['S3 Bucket Policies', 'S3 Basics']
['Same-Region Replication (SRR)', 'S3 Basics']
['Tags', 'S3 Basics']
['User-Based Security', 'S3 Basics']
['Version ID', 'S3 Basics']
['Versioning', 'S3 Basics']
['Availability Zone (AZ)', 'EC2 advanced']
['Cluster Placement Group', 'EC2 advanced']
['EBS Disk', 'EC2 advanced']
['EC2 User Data', 'EC2 advanced']
['Elastic IP', 'EC2 advanced']
['Elastic IPv4', 'EC2 advanced']
['Elastic Network Interfaces (ENI)', 'EC2 advanced']
['Hibernate', 'EC2 advanced']
['In-Memory State', 'EC2 advanced']
['MAC Address', 'EC2 advanced']
['NAT Device', 'EC2 advanced']
['Partition Placement Group', 'EC2 advanced']
['Placement Groups', 'EC2 advanced']
['Primary Private IPv4', 'EC2 advanced']
['Private IP', 'EC2 advanced']
['Public IP', 'EC2 advanced']
['Public IPv4', 'EC2 advanced']
['Root Volume', 'EC2 advanced']
['Secondary IPv4', 'EC2 advanced']
['Spread Placement Group', 'EC2 advanced']
['Stop Instance', 'EC2 advanced']
['Terminate Instance', 'EC2 advanced']
['Virtual Network Card', 'EC2 advanced']
['CPU Utilization', 'Auto Scaling Group']
['Custom Metrics', 'Auto Scaling Group']
['Network In/Out', 'Auto Scaling Group']
['Predictive Scaling', 'Auto Scaling Group']
['RequestCountPerTarget', 'Auto Scaling Group']
['Scaling Cooldown', 'Auto Scaling Group']
['Scheduled Scaling', 'Auto Scaling Group']
['Simple Scaling', 'Auto Scaling Group']
['Step Scaling', 'Auto Scaling Group']
['Target Tracking Scaling', 'Auto Scaling Group']
['Comprehend', 'Machine Learning']
['Comprehend Medical', 'Machine Learning']
['Forecast', 'Machine Learning']
['Kendra', 'Machine Learning']
['Lex + Connect', 'Machine Learning']
['Personalize', 'Machine Learning']
['Polly', 'Machine Learning']
['Rekognition', 'Machine Learning']
['SageMaker', 'Machine Learning']
['Transcribe', 'Machine Learning']
['Translate', 'Machine Learning']
['Lambda@Edge', 'Edge Functions']
['Origin Request', 'Edge Functions']
['Origin Response', 'Edge Functions']
['Viewer Request', 'Edge Functions']
['Viewer Response', 'Edge Functions']
