['Setting Up Virtual Private Gateway for Direct Connect', 'Networking']
['Analyzing Data Stored in Amazon S3', 'Data Analytics']
['Real-Time Data Processing', 'Data Analytics']
['Cataloging Data Sets', 'Data Analytics']
['Analytics Queries in OpenSearch', 'Data Analytics']
['Centralizing Data Storage with Data Lakes', 'Data Analytics']
['Search Capabilities in OpenSearch', 'Data Analytics']
['Converting Data Formats with Glue', 'Data Analytics']
['Difference Between Dashboard and Analysis', 'Data Analytics']
['Integration with AWS Data Sources', 'Data Analytics']
['Use cases for Amazon MSK for Apache Kafka', 'Data Analytics']
['Improving Athena Performance', 'Data Analytics']
['Integration with Event Bridge', 'S3 Advanced']
['Aggregating Data Across AWS Organization', 'S3 Advanced']
['Filtering Events', 'S3 Advanced']
['Performance and Cost Benefits of S3 Select', 'S3 Advanced']
['Failure Resilience with Byte Range Fetches', 'S3 Advanced']
['Exporting Metrics to S3', 'S3 Advanced']
['Lifecycle Configuration', 'S3 Advanced']
['Storage Costs vs. Data Transfer Costs', 'S3 Advanced']
['Requests per Second per Prefix', 'S3 Advanced']
['Authenticated Requesters', 'S3 Advanced']
['Reducing Network Transfers and CPU Costs', 'S3 Advanced']
['Cost Allocation in S3', 'S3 Advanced']
['Event Types in S3', 'S3 Advanced']
['Parallelization of Uploads and Downloads', 'S3 Advanced']
['Difference Between Free and Paid Metrics', 'S3 Advanced']
['Integration with Lambda for Custom Actions', 'S3 Advanced']
['Bulk Operations on S3 Objects', 'S3 Advanced']
['Advanced Filtering and Multiple Destinations', 'S3 Advanced']
['Generating Object Lists with S3 Inventory and S3 Select', 'S3 Advanced']
['Prefix and Tag-based Rules', 'S3 Advanced']
['IAM Permissions for Event Notifications', 'S3 Advanced']
['Managing Retries and Tracking Progress', 'S3 Advanced']
['Performance Optimization Techniques', 'S3 Advanced']
['S3 Analytics for Lifecycle Optimization', 'S3 Advanced']
['Event Notification Targets', 'S3 Advanced']
['Transfer Acceleration Mechanism', 'S3 Advanced']
['Durability and Availability across Storage Classes', 'S3 Advanced']
['Identifying Cost Efficiencies', 'S3 Advanced']
['Manual vs. Automated Object Movement', 'S3 Advanced']
['Storage Class Transitions', 'S3 Advanced']
['SQL for Server-Side Filtering', 'S3 Advanced']
['Data Protection Best Practices', 'S3 Advanced']
['Monitoring AWS Services with CloudWatch', 'Monitoring and Auditing']
['Integrating CloudTrail with CloudWatch Logs and EventBridge', 'Monitoring and Auditing']
['Integrating EventBridge with CloudTrail for API Calls', 'Monitoring and Auditing']
['Auditing and Compliance of AWS Resources', 'Monitoring and Auditing']
['Period Setting for High Resolution Custom Metrics', 'Monitoring and Auditing']
['CoudWatch vs. CloudTrail vs. Config', 'Monitoring and Auditing']
['Creating and Using Custom Metrics', 'Monitoring and Auditing']
['Monitoring EC2 Instances with Status Checks and System Status Checks', 'Monitoring and Auditing']
['Monitoring Unusual Activity with CloudTrail Insights', 'Monitoring and Auditing']
['AWS Managed vs. Custom Config Rules', 'Monitoring and Auditing']
['Analyzing CloudTrail Logs with Athena', 'Monitoring and Auditing']
['Cross-Account Event Bus Permissions', 'Monitoring and Auditing']
['Identifying Network Users via VPC Logs', 'Monitoring and Auditing']
['Monitoring Serverless Applications', 'Monitoring and Auditing']
['Integration of CloudWatch Alarms with SNS and Lambda', 'Monitoring and Auditing']
['Analyzing Logs for Top Contributors', 'Monitoring and Auditing']
['Composite Alarms for Multiple Metrics', 'Monitoring and Auditing']
['Sending Logs to CloudWatch', 'Monitoring and Auditing']
['Structure of CloudWatch Logs', 'Monitoring and Auditing']
['Querying Logs with CloudWatch Logs Insights', 'Monitoring and Auditing']
['Streaming CloudWatch Metrics to Kinesis Data Firehose', 'Monitoring and Auditing']
['Creating Automated Dashboards for Application Health', 'Monitoring and Auditing']
['Using Machine Learning for Application Monitoring', 'Monitoring and Auditing']
['Using Event Patterns to Filter Events', 'Monitoring and Auditing']
['Archiving and Replaying Events', 'Monitoring and Auditing']
['Integration of CloudWatch Insights with AWS Services', 'Monitoring and Auditing']
['Exporting Logs to Amazon S3', 'Monitoring and Auditing']
['Collecting and Aggregating Container Metrics', 'Monitoring and Auditing']
['Recording and Tracking Configuration Changes', 'Monitoring and Auditing']
['Triggering Notifications on Root User Sign-In', 'Monitoring and Auditing']
['Scheduling Cron Jobs with EventBridge', 'Monitoring and Auditing']
['Actions on EC2 Instances Triggered by Alarms', 'Monitoring and Auditing']
['Alias Records and Simple Routing Policy', 'DNS']
['Domain Name Resolution Process', 'DNS']
['Simple routing policy for single resource', 'DNS']
['Differences Between CNAME and Alias Records', 'DNS']
['Mapping Hostnames to AWS Resources', 'DNS']
['Multiple values in simple routing policy', 'DNS']
['DNS Record Caching', 'DNS']
['DNS Caching', 'DNS']
['No health checks with simple routing policy', 'DNS']
['How DNS Records Define Traffic Routing', 'DNS']
['Alias Record Restrictions for EC2 DNS Names', 'DNS']
['Routing Policies in Route 53', 'DNS']
['Route 53 Health Checks', 'DNS']
['Effect of High vs. Low TTL on DNS Traffic', 'DNS']
['TTL for DNS Records', 'DNS']
['Hierarchical Naming Structure of DNS', 'DNS']
['Alias Records for Root Domains and Non-root Domains', 'DNS']
['DNS Query Process', 'DNS']
['Cache Invalidation Strategy', 'DNS']
['Alias Record Exception for TTL', 'DNS']
['Free Queries and Health Check Capabilities of Alias Records', 'DNS']
['Route 53 routing policies', 'DNS']
['Difference Between Public and Private Hosted Zones', 'DNS']
['Route 53 as a Domain Registrar', 'DNS']
['DNS Record Types in Route 53', 'DNS']
['Client-side random selection of multiple IP addresses', 'DNS']
['Alias records for AWS resources', 'DNS']
['Roles of Different DNS Servers', 'DNS']
['Combination of Password and Security Device', 'IAM']
['Policy Inheritance', 'IAM']
['Use Cases for CLI and SDK', 'IAM']
['Policy Purpose', 'IAM']
['Policy Structure', 'IAM']
['Password Policy Options', 'IAM']
['EC2 Instance and IAM Role Interaction', 'IAM']
['Principle of Least Privilege', 'IAM']
['Common Roles', 'IAM']
['Security Benefits of MFA', 'IAM']
['Access Methods: Management Console, CLI, and SDK', 'IAM']
['Access Advisor Functionality', 'IAM']
['Generating and Managing Access Keys', 'IAM']
['Programming Languages Supported by SDK', 'IAM']
['IAM Roles for AWS Services vs. Physical Users', 'IAM']
['User Grouping', 'IAM']
['Root User vs. Regular Users', 'IAM']
['Multiple Group Memberships', 'IAM']
['Group Containment', 'IAM']
['Global Service', 'IAM']
['Third-Party MFA Devices', 'IAM']
['Assigning Permissions to AWS Services', 'IAM']
['Importance of Strong Passwords', 'IAM']
['Reducing Permissions Using Access Advisor', 'IAM']
['MFA as a Defense Mechanism', 'IAM']
['CLI Commands and Automation', 'IAM']
['Inline Policy vs. Group Policy', 'IAM']
['Security of Access Methods: Username/Password, MFA, Access Keys', 'IAM']
['Simplifying Security Management with Access Points', 'S3 Security']
['Managing Security at Scale', 'S3 Security']
['Encryption in Transit', 'S3 Security']
['Protecting Against DDoS Attacks', 'S3 Security']
['Cross-Origin Requests', 'S3 Security']
['Using Access Points for VPC and Internet Access', 'S3 Security']
['Forcing Encryption with Bucket Policies', 'S3 Security']
['Caching Content at Edge Locations', 'S3 Security']
['Dynamic Object Transformation with S3 Object Lambda', 'S3 Security']
['Types of Server-Side Encryption', 'S3 Security']
['Use Cases for S3 Object Lambda', 'S3 Security']
['Using KMS for Key Management', 'S3 Security']
['Retention Modes and Their Purposes', 'S3 Security']
['Configuring CORS for S3 Buckets', 'S3 Security']
['Defining Specific Access Policies for Different Data', 'S3 Security']
['Improving Read Performance and Reducing Latency', 'S3 Security']
['Using Legal Hold for Object Protection', 'S3 Security']
['Implementing WORM Model with Glacier Vault Lock', 'S3 Security']
['Client-Side vs. Server-Side Encryption', 'S3 Security']
['Web Browser Security Mechanism', 'S3 Security']
['MFA Delete', 'S3 Security']
['Same Origin Policy', 'S3 Security']
['Reducing Data Duplication with S3 Object Lambda', 'S3 Security']
['Difference Between CloudFront and S3 Replication', 'S3 Security']
['Setting Retention Periods', 'S3 Security']
['Integration of Lambda Functions with S3 Access Points', 'S3 Security']
['Differences Between S3 Glacier Vault Lock and S3 Object Lock', 'S3 Security']
['Origins for CloudFront', 'S3 Security']
['Server Migration', 'Disaster Recovery']
['On-Premise Strategy with Cloud', 'Disaster Recovery']
['AWS Migration Hub', 'Disaster Recovery']
['Database Snapshot Method', 'Disaster Recovery']
['RPO vs. RTO', 'Disaster Recovery']
['Cost vs. Recovery Time', 'Disaster Recovery']
['On-premise vs. Cloud', 'Disaster Recovery']
['Percona XtraBackup Method', 'Disaster Recovery']
['Backup and Restore', 'Disaster Recovery']
['Homogeneous vs. Heterogeneous Migration', 'Disaster Recovery']
['Resiliency and Self-Healing', 'Disaster Recovery']
['Amazon Linux 2 AMI Deployment', 'Disaster Recovery']
['Warm Standby', 'Disaster Recovery']
['Migrating Databases with DMS', 'Disaster Recovery']
['Pilot Light', 'Disaster Recovery']
['Supported Database Engines', 'Disaster Recovery']
['VMWare Cloud on AWS', 'Disaster Recovery']
['Aurora Read Replica Method', 'Disaster Recovery']
['AWS Application Discovery Service', 'Disaster Recovery']
['Automated Recovery', 'Disaster Recovery']
['AWS Application Migration Service Use Case', 'Disaster Recovery']
['Hot Site / Multi-Site', 'Disaster Recovery']
['VM Import and Export', 'Disaster Recovery']
['MySQL Dump Utility Method', 'Disaster Recovery']
['AWS Backup Use Case', 'Disaster Recovery']
['Database Migration to Aurora MySQL', 'Disaster Recovery']
['Database Migration', 'Disaster Recovery']
['Restricting API Calls by IP Address', 'Access Management']
['Differences Between AWS Managed Microsoft AD, AD Connector, and Simple AD', 'Access Management']
['Restricting Maximum Permissions with IAM Permission Boundaries', 'Access Management']
['Role of Domain Controllers in Active Directory', 'Access Management']
['Applying Permission Boundaries to Users and Roles', 'Access Management']
['Using Permission Sets to Control Access', 'Access Management']
['Using Trust Connections to Share User Authentication Between On-Premises and AWS', 'Access Management']
['Role of Session Policies in IAM', 'Access Management']
['Managing Single Sign-On Across Multiple AWS Accounts and Applications', 'Access Management']
['Differences between Identity-based and Resource-based Policies', 'Access Management']
['Delegating Responsibilities within Permission Boundaries', 'Access Management']
['Integrating IAM Identity Center with Third-Party Identity Providers', 'Access Management']
['Setting S3 Bucket Policies', 'Access Management']
['Defining Access for Multiple Accounts Using IAM Identity Center', 'Access Management']
['Limiting Access to Specific AWS Regions', 'Access Management']
['Assigning Users and Groups to Permission Sets', 'Access Management']
['Tag-Based Access Control for EC2', 'Access Management']
['Proxying User Authentication Requests with AD Connector', 'Access Management']
['Enforcing Multi-Factor Authentication', 'Access Management']
['Impact of Explicit Deny in IAM Policies', 'Access Management']
['Evaluating IAM Policies and Permissions', 'Access Management']
['Combining Permission Boundaries with AWS Organizations SCP', 'Access Management']
['Restricting Access to Organization Members', 'Access Management']
['Integrating On-Premises AD with AWS Directory Services', 'Access Management']
['Data Persistence on Stop vs. Terminate', 'EC2 advanced']
['Security Groups Attached to ENIs', 'EC2 advanced']
['Benefits of Using DNS over Elastic IPs', 'EC2 advanced']
['Hibernate Process and RAM State Preservation', 'EC2 advanced']
['ENI Creation and Management', 'EC2 advanced']
['Cluster Placement Group: High Performance, High Risk', 'EC2 advanced']
['Use of Elastic IPs', 'EC2 advanced']
['Network Address Translation', 'EC2 advanced']
['Operating System Compatibility', 'EC2 advanced']
['Requirements for Hibernation', 'EC2 advanced']
['Network Performance in Cluster Placement Groups', 'EC2 advanced']
['Instance Type Compatibility', 'EC2 advanced']
['ENI Availability Zone Boundaries', 'EC2 advanced']
['Assigning Private and Public IPs', 'EC2 advanced']
['Public IP vs. Private IP', 'EC2 advanced']
['Private Network and Internet Access', 'EC2 advanced']
['ENI Attributes and Functions', 'EC2 advanced']
['Hardware Failure Isolation in Spread and Partition Groups', 'EC2 advanced']
['Spread Placement Group: Minimized Failure Risk', 'EC2 advanced']
['Instance Boot Process', 'EC2 advanced']
['Network Connectivity for EC2 Instances', 'EC2 advanced']
['Failover Using ENIs', 'EC2 advanced']
['Differences between IPv4 and IPv6', 'EC2 advanced']
['Partition Placement Group: Distributed Across Racks', 'EC2 advanced']
['Bucket Naming Conventions', 'S3 Basics']
['Object Key Structure', 'S3 Basics']
['CRR vs. SRR', 'S3 Basics']
['Public Access Configuration', 'S3 Basics']
['Use Cases for SRR', 'S3 Basics']
['Replication Mechanism', 'S3 Basics']
['IAM Permissions and API Calls', 'S3 Basics']
['Encryption at Upload', 'S3 Basics']
['Use Cases of S3', 'S3 Basics']
['Actions in Bucket Policies', 'S3 Basics']
['Cross-Account Access', 'S3 Basics']
['Effect in Bucket Policies', 'S3 Basics']
['Source and Destination Buckets', 'S3 Basics']
['Max Object Size and Multi-part Upload', 'S3 Basics']
['Versioning in S3', 'S3 Basics']
['Metadata and Tags', 'S3 Basics']
['S3 as Backbone for Websites', 'S3 Basics']
['Principle in IAM Policies', 'S3 Basics']
['EC2 Instance Role', 'S3 Basics']
['Resource Block in JSON Policies', 'S3 Basics']
['Use Cases for CRR', 'S3 Basics']
['Scheduling Tasks with EventBridge', 'Containers on AWS']
['How would you process objects uploaded to S3 buckets automatically without managing servers?', 'Containers on AWS']
['How would you scale a service to handle varying loads of messages in a queue?', 'Containers on AWS']
['Load Balancer Integrations with ECS', 'Containers on AWS']
['Data Persistence on Amazon ECS with Amazon EFS', 'Containers on AWS']
['IAM Roles for ECS Tasks and Instance Profiles', 'Containers on AWS']
['Monitoring Task States with EventBridge', 'Containers on AWS']
['Fargate Launch Type Overview', 'Containers on AWS']
['How Docker Works on an Operating System', 'Containers on AWS']
['Storing Docker Images in Docker Repositories', 'Containers on AWS']
['Scaling ECS Services with SQS Queue', 'Containers on AWS']
['Difference Between Docker and Virtual Machines', 'Containers on AWS']
['Introduction to Docker and its Use Cases', 'Containers on AWS']
['Getting Started with Docker: From Dockerfile to Docker Container', 'Containers on AWS']
['Managing ECS Tasks with EventBridge', 'Containers on AWS']
['Introduction to Amazon ECS and EC2 Launch Type', 'Containers on AWS']
['Performance vs. Cost Trade-offs', 'CloudFront']
['Health Checks and Automated Failover', 'CloudFront']
['Difference Between CloudFront and Global Accelerator', 'CloudFront']
['Reducing Costs with Price Classes', 'CloudFront']
['Specifying Paths for Cache Invalidation', 'CloudFront']
['Impact of TTL on Content Updates', 'CloudFront']
['Data Transfer Costs by Region', 'CloudFront']
['Using Anycast IP for Traffic Routing', 'CloudFront']
['Forcing Cache Refresh with Invalidations', 'CloudFront']
['Improving Global Application Performance with Global Accelerator', 'CloudFront']
['Kendra Use Case', 'Machine Learning']
['Comprehend Medical Use Case', 'Machine Learning']
['Forecast Use Case', 'Machine Learning']
['Comprehend Use Case', 'Machine Learning']
['SageMaker Use Case', 'Machine Learning']
['Lex + Connect Use Case', 'Machine Learning']
['Rekognition Use Case', 'Machine Learning']
['Transcribe Use Case', 'Machine Learning']
['Polly Use Case', 'Machine Learning']
['Personalize Use Case', 'Machine Learning']
['Translate Use Case', 'Machine Learning']
['Comparing RDBMS and NoSQL Databases', 'Data and Databases']
['Selecting the Right Database for Workloads', 'Data and Databases']
['Use Cases for Object Store Databases', 'Data and Databases']
['Ongoing Replication Methods', 'Data and Databases']
['Internet Speed Impact on Data Transfer', 'Data and Databases']
['Use cases for Kinesis Data Analytics', 'Data and Databases']
['Using Snowball for Large Data Transfers', 'Data and Databases']
['Combining Snowball with DMS', 'Data and Databases']
['Constraints and Use Cases for Each Transfer Method', 'Data and Databases']
['Sub-Millisecond Startup Times', 'Edge Functions']
['Use Cases of Edge Functions', 'Edge Functions']
['CloudFront Functions vs. Lambda@Edge', 'Edge Functions']
['Customizing CDN Content', 'Edge Functions']
['Request and Response Modification', 'Edge Functions']
['Executing Logic at the Edge', 'Edge Functions']
['File Management in Cloud Shell', 'Cloudshell']
['Customizing Cloud Shell', 'Cloudshell']
['Cloud Shell Availability', 'Cloudshell']
['Command Execution in Cloud Shell', 'Cloudshell']
['Cloud Shell Environment Persistence', 'Cloudshell']
['Cloud Shell vs. Terminal', 'Cloudshell']
['Monitoring and Metrics', 'Auto Scaling Group']
['Metrics for Scaling', 'Auto Scaling Group']
['Dynamic Response', 'Auto Scaling Group']
['Configuration Time', 'Auto Scaling Group']
['Scaling Policies', 'Auto Scaling Group']
['Cooldown Period', 'Auto Scaling Group']
['CloudFormation Use Case', 'Services']
['Cloud Formation Service Role', 'Services']
['AWS Batch Use Case', 'Services']
['AWS Cost Explorer and Anomaly Detection', 'Services']
['SSM Session Manager Use Case', 'Services']
['Managing Multiple AWS Accounts', 'Account Management']
['Organizing Accounts Using OUs', 'Account Management']
['Billing Consolidation and Cost Savings', 'Account Management']
['Automating Account Creation', 'Account Management']
['Applying SCPs for Security and Compliance', 'Account Management']
